timestamp,sysDescr,sysUpTimeInstance,latency
2014-08-19 02:48:55.751,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:40:54.16,214
2014-08-19 02:48:57.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:40:56.04,4
2014-08-19 02:48:59.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:40:58.04,3
2014-08-19 02:49:01.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:00.04,3
2014-08-19 02:49:03.222,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:02.04,2
2014-08-19 02:49:05.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:04.04,3
2014-08-19 02:49:07.223,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:06.04,3
2014-08-19 02:49:09.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:08.04,3
2014-08-19 02:49:11.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:10.04,3
2014-08-19 02:49:13.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:12.04,3
2014-08-19 02:49:15.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:14.04,3
2014-08-19 02:49:17.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:16.04,2
2014-08-19 02:49:19.223,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:18.04,3
2014-08-19 02:49:21.229,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:20.04,3
2014-08-19 02:49:23.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:22.04,3
2014-08-19 02:49:25.221,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:24.04,3
2014-08-19 02:49:27.224,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:26.04,3
2014-08-19 02:49:29.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:28.04,3
2014-08-19 02:49:31.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:30.04,3
2014-08-19 02:49:33.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:32.04,3
2014-08-19 02:49:35.221,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:34.04,3
2014-08-19 02:49:37.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:36.04,3
2014-08-19 02:49:39.226,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:38.04,11
2014-08-19 02:49:41.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:40.04,3
2014-08-19 02:49:43.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:42.04,3
2014-08-19 02:49:45.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:44.04,3
2014-08-19 02:49:47.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:46.04,3
2014-08-19 02:49:49.228,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:48.04,3
2014-08-19 02:49:51.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:50.04,2
2014-08-19 02:49:53.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:52.04,3
2014-08-19 02:49:55.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:54.04,4
2014-08-19 02:49:57.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:56.04,3
2014-08-19 02:49:59.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:58.04,3
2014-08-19 02:50:01.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:00.04,2
2014-08-19 02:50:03.229,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:02.04,3
2014-08-19 02:50:05.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:04.04,3
2014-08-19 02:50:08.25,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:06.04,3
2014-08-19 02:50:09.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:08.04,3
2014-08-19 02:50:11.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:10.04,3
2014-08-19 02:50:13.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:12.04,3
2014-08-19 02:50:15.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:14.04,3
2014-08-19 02:50:17.222,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:16.04,3
2014-08-19 02:50:19.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:18.04,5
2014-08-19 02:50:21.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:20.04,3
2014-08-19 02:50:23.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:22.04,3
2014-08-19 02:50:25.225,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:24.04,3
2014-08-19 02:50:27.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:26.04,3
2014-08-19 02:50:29.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:28.04,2
2014-08-19 02:50:31.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:30.04,2
2014-08-19 02:50:33.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:32.04,3
2014-08-19 02:50:35.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:34.04,3
2014-08-19 02:50:37.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:36.04,2
2014-08-19 02:50:39.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:38.04,2
2014-08-19 02:50:41.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:40.04,3
2014-08-19 02:50:43.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:42.04,4
2014-08-19 02:50:45.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:44.04,2
2014-08-19 02:50:47.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:46.04,2
2014-08-19 02:50:49.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:48.04,3
2014-08-19 02:50:51.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:50.04,3
2014-08-19 02:50:53.229,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:52.04,3
2014-08-19 02:50:55.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:54.04,3
2014-08-19 02:50:57.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:56.04,3
2014-08-19 02:50:59.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:42:58.04,2
2014-08-19 02:51:01.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:00.04,2
2014-08-19 02:51:03.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:02.04,3
2014-08-19 02:51:05.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:04.04,2
2014-08-19 02:51:07.222,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:06.04,5
2014-08-19 02:51:09.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:08.04,5
2014-08-19 02:51:11.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:10.04,3
2014-08-19 02:51:13.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:12.04,2
2014-08-19 02:51:15.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:14.04,3
2014-08-19 02:51:17.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:16.04,3
2014-08-19 02:51:19.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:18.04,3
2014-08-19 02:51:21.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:20.04,2
2014-08-19 02:51:23.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:22.04,3
2014-08-19 02:51:25.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:24.04,3
2014-08-19 02:51:27.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:26.04,3
2014-08-19 02:51:30.208,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:28.04,3
2014-08-19 02:51:31.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:30.04,3
2014-08-19 02:51:33.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:32.04,2
2014-08-19 02:51:35.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:34.04,3
2014-08-19 02:51:37.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:36.04,2
2014-08-19 02:51:39.229,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:38.04,14
2014-08-19 02:51:41.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:40.04,2
2014-08-19 02:51:43.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:42.04,2
2014-08-19 02:51:45.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:44.04,3
2014-08-19 02:51:47.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:46.04,2
2014-08-19 02:51:49.253,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:48.08,3
2014-08-19 02:51:51.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:50.04,2
2014-08-19 02:51:53.218,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:52.04,3
2014-08-19 02:51:55.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:54.04,3
2014-08-19 02:51:57.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:56.04,5
2014-08-19 02:51:59.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:43:58.04,4
2014-08-19 02:52:01.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:00.05,2
2014-08-19 02:52:03.223,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:02.04,4
2014-08-19 02:52:05.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:04.04,2
2014-08-19 02:52:07.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:06.04,2
2014-08-19 02:52:09.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:08.04,2
2014-08-19 02:52:11.229,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:10.04,14
2014-08-19 02:52:13.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:12.04,2
2014-08-19 02:52:15.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:14.04,2
2014-08-19 02:52:17.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:16.04,2
2014-08-19 02:52:19.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:18.04,2
2014-08-19 02:52:21.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:20.04,5
2014-08-19 02:52:23.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:22.04,2
2014-08-19 02:52:25.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:24.05,3
2014-08-19 02:52:27.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:26.04,2
2014-08-19 02:52:29.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:28.04,2
2014-08-19 02:52:31.217,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:44:30.05,2
